County,NPV_Rent_10yr,NPV_Buy_10yr,Difference_BuyMinusRent,Better_Option,Breakeven_Year
Albany,32475.73,168694.51,136218.78,Renting,None
Bronx,37543.69,177472.38,139928.69,Renting,None
Broome,22543.69,84609.18,62065.49,Renting,None
Cattaraugus,17330.1,71671.77,54341.67,Renting,None
Cayuga,21757.28,133246.54,111489.26,Renting,None
Chautauqua,18291.26,105618.49,87327.23,Renting,None
Chemung,24145.63,57777.42,33631.79,Renting,None
Clinton,24320.39,94054.69,69734.3,Renting,None
Columbia,29941.75,263097.1,233155.35,Renting,None
Cortland,22980.58,88412.19,65431.61,Renting,None
Dutchess,38825.24,180961.51,142136.27,Renting,None
Erie,25834.95,130450.64,104615.69,Renting,None
Franklin,20097.09,55562.63,35465.54,Renting,None
Fulton,20679.61,93905.6,73225.99,Renting,None
Genesee,22135.92,91476.85,69340.93,Renting,None
Herkimer,19864.08,98243.87,78379.79,Renting,None
Jefferson,30058.25,111084.51,81026.25,Renting,None
Kings,48262.14,452979.2,404717.06,Renting,None
Livingston,21786.41,117911.61,96125.2,Renting,None
Madison,22339.81,97599.49,75259.68,Renting,None
Monroe,28922.33,107925.47,79003.14,Renting,None
Montgomery,20330.1,106560.56,86230.46,Renting,None
Nassau,58398.06,262572.39,204174.33,Renting,None
New York,59097.09,416671.82,357574.73,Renting,None
Niagara,21291.26,120940.15,99648.88,Renting,None
Oneida,22106.8,110102.39,87995.6,Renting,None
Onondaga,27116.5,141368.42,114251.91,Renting,None
Ontario,27291.26,143741.98,116450.72,Renting,None
Orange,40165.05,166436.85,126271.8,Renting,None
Orleans,19718.45,101703.54,81985.09,Renting,None
Oswego,22718.45,92318.71,69600.27,Renting,None
Otsego,23213.59,88992.13,65778.54,Renting,None
Putnam,49718.45,246699.83,196981.38,Renting,None
Queens,51786.41,224239.14,172452.73,Renting,None
Rensselaer,30174.76,137449.82,107275.06,Renting,None
Richmond,43834.95,189243.26,145408.31,Renting,None
Rockland,47970.87,288208.44,240237.57,Renting,None
Saratoga,34660.19,186838.85,152178.66,Renting,None
Schenectady,28106.8,134333.86,106227.06,Renting,None
Schoharie,22427.18,118153.65,95726.46,Renting,None
Seneca,22339.81,145005.51,122665.71,Renting,None
Steuben,20708.74,73018.23,52309.49,Renting,None
Suffolk,58922.33,287055.11,228132.78,Renting,None
Tioga,22077.67,82342.79,60265.12,Renting,None
Tompkins,36174.76,152194.75,116020.0,Renting,None
Ulster,33349.51,178844.95,145495.44,Renting,None
Warren,26941.75,142105.55,115163.8,Renting,None
Washington,24029.13,124066.06,100036.93,Renting,None
Wayne,21728.16,111196.68,89468.53,Renting,None
Westchester,50330.1,146420.75,96090.65,Renting,None
Yates,18145.63,178098.52,159952.89,Renting,None
